Lattitude,Longitude,Restaurant,State
-110.90958,32.25103,BurgerKing,AZ
-110.90041000000001,32.207209999999996,BurgerKing,AZ
-110.89276000000001,32.30867,BurgerKing,AZ
-110.8745,32.250479999999996,BurgerKing,AZ
-110.8577,32.22172,BurgerKing,AZ
-110.8434,32.191759999999995,BurgerKing,AZ
-112.72101,33.96972,BurgerKing,AZ
-109.8399,32.264309999999995,BurgerKing,AZ
-114.65037,32.70032,BurgerKing,AZ
-114.62445,32.68349,BurgerKing,AZ
-114.6226,32.59661,BurgerKing,AZ
-114.624553,32.725192,BurgerKing,AZ
-117.4155,34.50891,BurgerKing,CA
-118.75938000000001,34.14522,BurgerKing,CA
-118.13938,34.07744,BurgerKing,CA
-118.12082,34.097879999999996,BurgerKing,CA
-117.72353000000001,33.57323,BurgerKing,CA
-117.70735,33.5707,BurgerKing,CA
-117.57558,34.122659999999996,BurgerKing,CA
-117.9413,33.82597,BurgerKing,CA
-117.93799999999999,33.803020000000004,BurgerKing,CA
-117.90808,33.81794,BurgerKing,CA
-117.88595,33.83931,BurgerKing,CA
-117.78753,33.85945,BurgerKing,CA
-117.74342,33.86804,BurgerKing,CA
-120.5547,38.079440000000005,BurgerKing,CA
-117.21423,34.471540000000005,BurgerKing,CA
-118.03513000000001,34.10763,BurgerKing,CA
-118.07218,33.85965,BurgerKing,CA
-118.8334,35.20926,BurgerKing,CA
-120.65458000000001,35.474270000000004,BurgerKing,CA
-121.05595,38.92585,BurgerKing,CA
-117.89058999999999,34.128679999999996,BurgerKing,CA
-119.18718999999999,35.52945,BurgerKing,CA
-119.11006,35.384209999999996,BurgerKing,CA
-119.09438,35.35458,BurgerKing,CA
-119.09105,35.31847,BurgerKing,CA
-119.05803,35.354009999999995,BurgerKing,CA
-119.05788000000001,35.41253,BurgerKing,CA
-119.04861000000001,35.33934,BurgerKing,CA
-119.04326,35.40457,BurgerKing,CA
-119.03953,35.36885,BurgerKing,CA
-119.03041,35.31792,BurgerKing,CA
-119.00308999999999,35.39049,BurgerKing,CA
-118.9711,35.39736,BurgerKing,CA
-118.9351,35.375840000000004,BurgerKing,CA
-118.91318999999999,35.35425,BurgerKing,CA
-117.97971000000001,34.06985,BurgerKing,CA
-117.96582,34.08507,BurgerKing,CA
-117.03956000000001,34.89367,BurgerKing,CA
-117.00251999999999,34.89294,BurgerKing,CA
-116.94736,33.92915,BurgerKing,CA
-118.1861,33.963,BurgerKing,CA
-118.11865,33.872859999999996,BurgerKing,CA
-116.89963999999999,34.243390000000005,BurgerKing,CA
-117.39599,34.070879999999995,BurgerKing,CA
-114.60558,33.60524,BurgerKing,CA
-117.9015,33.91713,BurgerKing,CA
-117.86622,33.910790000000006,BurgerKing,CA
-120.18741999999999,34.610929999999996,BurgerKing,CA
-117.9982,33.8521,BurgerKing,CA
-117.99728,33.882659999999994,BurgerKing,CA
-117.99333,33.83863,BurgerKing,CA
-118.31911000000001,34.17853,BurgerKing,CA
-116.77362,33.91964,BurgerKing,CA
-115.4985,32.671079999999996,BurgerKing,CA
-117.05646999999999,33.99327,BurgerKing,CA
-119.0391,34.21822,BurgerKing,CA
-117.34546999999999,33.31085,BurgerKing,CA
-118.59463999999998,34.20122,BurgerKing,CA
-118.46687,34.41553,BurgerKing,CA
-117.32703000000001,33.17969,BurgerKing,CA
-117.26698,33.10365,BurgerKing,CA
-121.34563999999999,38.59541,BurgerKing,CA
-121.32826000000001,38.63171,BurgerKing,CA
-118.28585,33.839420000000004,BurgerKing,CA
-118.26794,33.82412,BurgerKing,CA
-118.26378999999999,33.82412,BurgerKing,CA
-118.62353,34.498020000000004,BurgerKing,CA
-116.48263999999999,33.78838,BurgerKing,CA
-116.45703999999999,33.81615,BurgerKing,CA
-118.06088999999999,33.870059999999995,BurgerKing,CA
-118.58729,34.25712,BurgerKing,CA
-117.71529,33.98552,BurgerKing,CA
-117.68581,34.033390000000004,BurgerKing,CA
-117.08803999999999,32.627629999999996,BurgerKing,CA
-117.06675,32.6081,BurgerKing,CA
-117.064,32.648109999999996,BurgerKing,CA
-117.02076000000001,32.63613,BurgerKing,CA
-121.27161000000001,38.70666,BurgerKing,CA
-121.26547,38.67837,BurgerKing,CA
-117.32261000000001,34.06649,BurgerKing,CA
-117.30891000000001,34.05048,BurgerKing,CA
-118.1249,33.97611,BurgerKing,CA
-118.22068,33.89584,BurgerKing,CA
-117.5846,33.87719,BurgerKing,CA
-117.56451000000001,33.88406,BurgerKing,CA
-117.54391000000001,33.86466,BurgerKing,CA
-117.51503999999998,33.8831,BurgerKing,CA
-117.17057,32.698170000000005,BurgerKing,CA
